mytype,material,link,value
ml,nước Dừa,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,100
g,Tiêu xanh,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,5
nhánh,Gừng,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
cây,Xả,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,2
thìa súp,Mắm,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,4
thìa súp,Tỏi,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,2
củ,hành tây,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
thìa cà phê,Ớt,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
thìa cà phê,Đường,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,3
thìa súp,Nước cốt chanh,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,1
